model_name,subjects,no_attacker_asr,avg_attacker_asr
gemini-3-flash-preview,biology,24.489795918367346,20.408163265306122
gemini-3-flash-preview,chemistry,2.0408163265306123,5.3061224489795915
gemini-3-flash-preview,medical,20.40816326530612,19.591836734693878
gemini-3-flash-preview,pharmacy,58.53658536585365,10.73170731707317
gemini-3-flash-preview,physics,26.53061224489796,11.836734693877549
gemini-3-flash-preview,psychology,28.57142857142857,20.816326530612244
gemini-3-pro-preview,biology,20.40816326530612,18.775510204081634
gemini-3-pro-preview,chemistry,6.122448979591836,13.061224489795919
gemini-3-pro-preview,medical,24.489795918367346,17.95918367346939
gemini-3-pro-preview,pharmacy,60.97560975609756,16.585365853658537
gemini-3-pro-preview,physics,28.57142857142857,11.020408163265305
gemini-3-pro-preview,psychology,28.57142857142857,15.918367346938775
glm-4.7,biology,16.3265306122449,18.775510204081634
glm-4.7,chemistry,2.0408163265306123,4.8979591836734695
glm-4.7,medical,26.53061224489796,17.551020408163264
glm-4.7,pharmacy,63.41463414634146,7.804878048780488
glm-4.7,physics,26.53061224489796,11.428571428571427
glm-4.7,psychology,24.489795918367346,11.020408163265305
kimi-k2.5,biology,22.448979591836736,5.306122448979592
kimi-k2.5,chemistry,14.285714285714285,2.4489795918367343
kimi-k2.5,medical,18.367346938775512,5.714285714285714
kimi-k2.5,pharmacy,51.21951219512195,9.75609756097561
kimi-k2.5,physics,20.40816326530612,4.897959183673469
kimi-k2.5,psychology,18.367346938775512,3.2653061224489788
llama-3.3-70b,biology,20.40816326530612,56.326530612244895
llama-3.3-70b,chemistry,2.0408163265306123,54.28571428571429
llama-3.3-70b,medical,32.6530612244898,48.57142857142857
llama-3.3-70b,pharmacy,60.97560975609756,53.170731707317074
llama-3.3-70b,physics,26.53061224489796,60.40816326530612
llama-3.3-70b,psychology,24.489795918367346,56.3265306122449
llama-4-maverick,biology,22.448979591836736,62.44897959183673
llama-4-maverick,chemistry,4.081632653061225,46.93877551020408
llama-4-maverick,medical,30.612244897959183,58.36734693877552
llama-4-maverick,pharmacy,60.97560975609756,53.170731707317074
llama-4-maverick,physics,24.489795918367346,70.61224489795919
llama-4-maverick,psychology,28.57142857142857,60.40816326530612
qwen3-235b-a22b-instruct-2507,biology,20.40816326530612,16.3265306122449
qwen3-235b-a22b-instruct-2507,chemistry,4.081632653061225,12.653061224489795
qwen3-235b-a22b-instruct-2507,medical,16.3265306122449,14.285714285714283
qwen3-235b-a22b-instruct-2507,pharmacy,60.97560975609756,16.097560975609756
qwen3-235b-a22b-instruct-2507,physics,24.489795918367346,15.10204081632653
qwen3-235b-a22b-instruct-2507,psychology,26.53061224489796,13.469387755102039
qwen3-max-2026-01-23,biology,28.57142857142857,4.897959183673469
qwen3-max-2026-01-23,chemistry,16.3265306122449,2.8571428571428568
qwen3-max-2026-01-23,medical,20.40816326530612,5.3061224489795915
qwen3-max-2026-01-23,pharmacy,56.09756097560976,6.829268292682926
qwen3-max-2026-01-23,physics,20.40816326530612,6.530612244897959
qwen3-max-2026-01-23,psychology,20.40816326530612,1.6326530612244898
